序号,标题,原始链接,真实链接
41,北师大支教保研+现当代 - 知乎,http://www.baidu.com/link?url=MJ_Zrqn8FA4OgQecDD5rU49r44Lr42qiI5ILC0zvoCBfrqED41vQSjrch5p-86Vm,https://zhuanlan.zhihu.com/p/610938873
42,"在基层 | 援琴不怕春风颠,已许桃李同嫣然:北大本科毕业生支教新疆...",http://www.baidu.com/link?url=twxYnOj6Oc3yCn4PPhMvj0wbk_VKpfX3gOEFeK8T2hl20E_MQ-AJP1jodbHO-DIv7iSTks50ZaNufjeoCHnD8trmAC0mxSWzl331GKVJ02m,http://baijiahao.baidu.com/s?id=1749196512738318348&wfr=spider&for=pc
43,北师大实验中学平谷支教团:在责任与付出中感悟成长体会幸福,http://www.baidu.com/link?url=q_CQUJDk0sQfiCMmdinGXKmM7nicf6Bvo8dQC9TfgYT1fulUgUOyckiKAKPd-g9PaCbwcz8H1kBfio6_zOXLF5hml9iPt4c0DdC-hmfhSoO,http://m.cnr.cn/news/20150806/t20150806_519455511_tt.html
44,北师大实验中学平谷支教团:在责任与付出中感悟成长体会幸福_央广网,http://www.baidu.com/link?url=2GJyjJIWOABnm0Uu8-uo23LOURcczGrgSVEqsRNoCXIoFjO8p0xozBFo1pgXefAqEPD9G5KoEHJjXbO2O1XwMuhffx5sn34-f3KbIoM1HeS,http://news.cnr.cn/native/gd/20150806/t20150806_519455511_1.shtml
45,"西部计划|北师大研究生的支教vlog(下):用一年不长的时间,在爱与...",http://www.baidu.com/link?url=BAKJz6g6UJMVOlsbOOi2IR9FFGL4ApMhijptZJTdqwOjvJcQFYV2W9XaKqnjfE-shiXtb7BAS6d6b1pWupMXCa,https://m.bilibili.com/video/BV1HB4y1G7X7/
46,"北师大支教的故事,我们为什么要做杯水车薪的事?",http://www.baidu.com/link?url=c8d4lXTIWAB1Um6Bg8U6wIK23pLGu-22PJSWP5QG-u-ElrsJahk9axScavTZZXAIkoNIB1zOZImxFoPSmCbH_AUFoRs4NOg0-TfvG-P3wms1Ne0srtZlgUDazM53yVIFh1N05Ty-56_HwgLWixE8I48QLUP6eMa3_wQIjPPIrGRuxhknwQbzOHUToJlx3_SZzqQY2OtoCeU8cwFGtkBr6oDlrNtC7kwE-CFCYm0cOOasnhp2PZOksWdlx30iI5a82ujVUHMApSG0w1tcHBTETq,https://mp.weixin.qq.com/s?__biz=MzA5MTIzOTUyNw==&mid=2657673957&idx=1&sn=dcff25d0975ab940e1f9a26f1ffc6d71&chksm=8be327edbc94aefb9567c47cf845bc071c191e0d134915e21d1d085a3c26d5d08c70c36f64ab&scene=27
47,"BNU研支团丨木铎金声,滋兰树蕙,我们的支教回忆 —— 陈思远:成为...",http://www.baidu.com/link?url=c8d4lXTIWAB1Um6Bg8U6wIK23pLGu-22PJSWP5QG-u9-erYh0rBCgrzq1D1nEmvnD2WoW0zby5qx0uryYFnJKi-2woQN1438dNtUfc5pXcgdb_E6WWUezV__F7Zf87vFFVftrY6XmQADdXShRQ5giY8oiMP9UBh33L6vAnRnzAxR8fFaB03sinp_SqBFeU2iZWWpw1VEwVYLN7E75jfBA2VhMubwzUJG7TOXwxGuwXGNxCLW9NAsE3YLmVxCypgHRlH4sBLt7diAPOKJ5laA8_,https://mp.weixin.qq.com/s?__biz=MzA5OTA0NTAxOQ==&mid=2651964372&idx=3&sn=c8a11ba3baa3f648d711893567ba0127&chksm=8b6d3820bc1ab136eb7782344c46267225aa6cec8becff451c66244d2f58d37a032f8b72a082&scene=27
48,【教育强国 青年担当】北师大育光队赴江西瑞金开展教育公益行动,http://www.baidu.com/link?url=E0orFlTtaHor-v7QdIxXb_L-w9GVAJnibdU8XrTadSBUdjG5uyoFM3QuRaGsMDwsJOibLqL6NCGctumUy1WIVq,https://fe.bnu.edu.cn/html/1/news/20240927/n8292.html
49,...教育学部育梦队赴黑龙江绥滨开展教育公益行动 - 北京师范大学...,http://www.baidu.com/link?url=E0orFlTtaHor-v7QdIxXb_L-w9GVAJnibdU8XrTadSBUdjG5uyoFM3QuRaGsMDwskJkxNPalZ2ZLj0Jv4p0bW_,https://fe.bnu.edu.cn/html/1/news/20241009/n8317.html
50,"优秀毕业生丨笃志深耕,追梦逐光!第2期优秀毕业生的成长故事来啦~",http://www.baidu.com/link?url=c8d4lXTIWAB1Um6Bg8U6wIK23pLGu-22PJSWP5QG-u7tY7Jpf7IveMQnxJrJEqXqnQx11MmgkL9_YHhRvAR4vZq70GyVeYv9CFUnKxBbt0MCIb5K7l7G0Ed44lsRbABhDuZsXqgOrQFEDfy51iBdp4PY7WZHt-EWP3UcZUKp2p7NIfFpHXOsx5PEmi5PnlL4BCOB7dOgaEJ2srlx8wHJHBmshe3oXQA28OTOsf3GBiH66Gk-TWt7OuNWx7rJ0vJ93Acy5UpPY4-wZyX2PpikMK,https://mp.weixin.qq.com/s?__biz=MzI0Njg1NjQyNA==&mid=2247618801&idx=1&sn=817e50c2b0302d075d24e6a536ad1399&chksm=e85e57a9eb0451cf79f1959ace90629f41090d3c54fdc2513a10d04ba4b8a69a806e05864bb9&scene=27
51,以志愿 致青春丨北京师范大学第25届研究生支教团中期工作总结,http://www.baidu.com/link?url=c8d4lXTIWAB1Um6Bg8U6wIK23pLGu-22PJSWP5QG-u-qWXQU-lHfuqdqtl5EhyZ5MPa2W-UA8aXP_f0RJIyP-fwcLe4DS0Cd9WzodyThLGirq5PpxjTlCJJ644KPDahkkAn52nuO-GDWpgAzYUGIoWw1Jrs5E3W1RF1mSbpCmx7WiRYNetB3dBtFrkN47L-9YNNWIJSZZyqnzvMksAEjO89kt8SGFTpWCpWG360pu_L8NhNkXtn7aTOqo-zETAo9HjBfr_HcoGUQU8zNxXr1sa,https://mp.weixin.qq.com/s?__biz=MjM5OTEzMjMxMQ==&mid=2657948852&idx=5&sn=8d3f9696ced9902a946e2dc1793afdeb&chksm=bc926271c0d3dbf97b4763b8048e3bee2094920ebe939f6178141960e03aee870f6e8b6ddd2f&scene=27
52,...市鄱阳县油墩街镇西湖小学开展教育公益行动 - 北京师范大学...,http://www.baidu.com/link?url=E0orFlTtaHor-v7QdIxXb_L-w9GVAJnibdU8XrTadSBUdjG5uyoFM3QuRaGsMDwslbJLLDarNy3PiCySnhy_MK,https://fe.bnu.edu.cn/html/1/news/20241009/n8318.html
53,...熹育队赴江西省修水县大桥镇开展教育公益行动 - 北京师范大学...,http://www.baidu.com/link?url=E0orFlTtaHor-v7QdIxXb_L-w9GVAJnibdU8XrTadSBUdjG5uyoFM3QuRaGsMDwsqAFj2GZrniUsj8N4yZKDUK,https://fe.bnu.edu.cn/html/1/news/20241009/n8315.html
54,2024年暑假北京师范大学赴河北盐山中学支教活动圆满收官,http://www.baidu.com/link?url=lWo1VDejzTZJnhnuSTUkZX-t6I-6MpU0N5jOUEGVOFUKHLl2AMr2_C_FXH1SBsNaGhELwOJLvBY6xQsUw5doDk-t7ZSLKOK1nNp7MMXOdS_,https://baijiahao.baidu.com/s?id=1804807149688008933&wfr=spider&for=pc
55,"专访| 研究生支教团:代代相传,传递梦想与爱",http://www.baidu.com/link?url=lWo1VDejzTZJnhnuSTUkZVRoDNwK8rP9zoEGl5EgX95hntU2pdGIcOpBjI6C5E4hdz-QP1ZInZuV4YS3yi6oCbl-zLzAOwsQ_A9bXGoY83E0M1bNF8D1Xq47F82ut4Ia1ZVjMZiYjJDNoW9jb980m_rS-0f99Fb28RTfEcNJDWDLdjaoNGoMD7TKjhAjXB0_bOoVjlKNHZO4nrESL205Yf2pjKBoKHyTRzrJ5UOJPeeVc7dezo0sgZe6ATEdgjxeEL1muCRd-iERp3zK2Dq4Kq,https://mp.weixin.qq.com/s?__biz=MjM5NDA3NDEwMQ==&mid=2652522241&idx=1&sn=8c0b97e0199cce46aae61ed9454de472&chksm=bd63bb9b8a14328d87650de15343bd52500da6da0e53160c9213c29dba0d24864bd46a35038b&scene=27
56,"青春有为,强师有我!北师大“电影下乡”暑期美育支教团深入中西部...",http://www.baidu.com/link?url=lWo1VDejzTZJnhnuSTUkZVRoDNwK8rP9zoEGl5EgX967W52IqU401pgi4z6z64LVF_wbFVdF2HM66ncgYKdewXbJPypvbtIE9efwtob4Y54nSMikZDZDRfh2iymWKFR5TRWNA81ppVpsb-m8gTFXNJHvR19FtQh8-WeS-zpdKAk26HX-Fl3PbJ2AWrAbekEXHQULnMYsYYaPYI4z7qtxvrYmd7T7tm8jIgTSeC-85EvFtqEr50Y9h3O4jWSKyk80pD9xwtEcCoT4G5v05uuVCq,https://mp.weixin.qq.com/s?__biz=MjM5MTg4NjM2MQ==&mid=2657974891&idx=1&sn=ff95a2eee6db31ccaed9853eef70e9e4&chksm=bd37671d8a40ee0b8abd0d83ec7450927973c8f9626c9b1e2a23af389b38ac2d61dd11783c2f&scene=27
57,...龙岩市连城县莒溪镇璧洲小学开展教育公益行动 - 北京师范大学...,http://www.baidu.com/link?url=DBH_0w1Y_HYx5jaqQIqmwta0nUvLW2PA3LdSuvVlTnDzgGKvrEjeml4My6RH8fBP5Z6tpY6M_2EmEVvq4lL_L_,https://fe.bnu.edu.cn/html/1/news/20241009/n8316.html
58,【乡村振兴青年行】北师大育云队赴云南省施甸县开展教育公益行动,http://www.baidu.com/link?url=DBH_0w1Y_HYx5jaqQIqmwta0nUvLW2PA3LdSuvVlTnDzgGKvrEjeml4My6RH8fBP-YO33ME6SwdYvez9cE0M3_,https://fe.bnu.edu.cn/html/1/news/20230905/n7546.html
59,北师大师生代表庄严告别优秀校友黄文秀同志,http://www.baidu.com/link?url=17FOXc2ihPZwYAA92G-F7dl-QIK7-IcTn1Vhc-WuDlGbUwFI72Gf4Ns8oKCxNj6WUV8QxeSOPZpUKcpu3cmrtq,https://dwxgb.bnu.edu.cn/xwzx/xwdt/75655.htm
60,BNU研支团丨北师大研支团新疆工作侧记:西部岁月中的无悔青春,http://www.baidu.com/link?url=lWo1VDejzTZJnhnuSTUkZVRoDNwK8rP9zoEGl5EgX95O1y5O04ZwgoC6XvbhLY6Kfvq7lDZSeCB69KSdV9m6yGc99jWOOtLJRAj85jO39fVVU3lEbDiE0omIvQyAcDUYhv0HTxirZ_cntHmKH7pK48cZPVEDCcziqnMpTy7Lu1tzesCjP9YzrYvd4XCtYwdvxf6MnTFtouiHQD3CezsvDpKMGM62RTji4lly0lwkUAlZV-zWMqh6N7c6U5vG2XMT03gfukP6umITxKM1HA324a,https://mp.weixin.qq.com/s?__biz=MzA5OTA0NTAxOQ==&mid=2651925457&idx=1&sn=b852f3d61a2647fb51125b9f82eccbd5&chksm=8b6dd025bc1a5933e4989b2a8c296292d9e48227d11b30dc9a9140346a2fbf6637fef301001b&scene=27
